Receiver ID,Block Date,Block Heights not present in Index Files,Block Heights not present in Databricks
framedrattler1409359194.u.arkana.near,2024-03-21,115161229,115161229
frozencrisscross8767295450.u.arkana.near,2024-03-21,115164815,115164815
fragmentedacknowledgement3946359302.u.arkana.near,2024-03-21,115168211,115168211
full-blownmidriff7017138624.u.arkana.near,2024-03-21,115160073,115160073
gaseousblockbuster3309343683.u.arkana.near,2024-03-21,115171581,115171581
gamerhasti75.near,2024-03-21,"115152378,115152383","115152378,115152383"
gatheredcustom4114359249.u.arkana.near,2024-03-21,115164640,115164640
gifteddivination235926482.u.arkana.near,2024-03-21,115172842,115172842
gentleillegality302026533.u.arkana.near,2024-03-21,"115166856,115168076","115166856,115168076"
giddybutton5660358879.u.arkana.near,2024-03-21,115167099,115167099
genteelgap5239359176.u.arkana.near,2024-03-21,115173578,115173578
glazedsloth2136290890.u.arkana.near,2024-03-21,115162557,115162557
givenarmband2865359194.u.arkana.near,2024-03-21,"115161204,115161276","115161204,115161276"
governmentalidiot3063342558.u.arkana.near,2024-03-21,115155673,115155673
governmentaltower1033333288.u.arkana.near,2024-03-21,115151797,115151797
graciousaphorism5785227401.u.arkana.near,2024-03-21,"115155763,115172713","115155763,115172713"
grammaticalforay5297356001.u.arkana.near,2024-03-21,115153341,115153341
grimtag4480176806.u.arkana.near,2024-03-21,115157182,115157182
grievousleftist208533541.u.arkana.near,2024-03-21,115163784,115163784
grittygloss3019334070.u.arkana.near,2024-03-21,115161593,115161593
hard-workingframe3602276930.u.arkana.near,2024-03-21,115170753,115170753
hardeneddemolition739370654.u.arkana.near,2024-03-21,115173170,115173170
hardnymph8988286607.u.arkana.near,2024-03-21,115171259,115171259
handmadenegotiation7503287618.u.arkana.near,2024-03-21,115152359,115152359
hastyrind6483343009.u.arkana.near,2024-03-21,115156743,115156743
harriedcommunion1475206211.u.arkana.near,2024-03-21,115154717,115154717
hauntedallocation2050341268.u.arkana.near,2024-03-21,115168139,115168139
haskixbt.near,2024-03-21,"115169900,115169907,115170448,115170458,115170470,115170484,115170803,115170820,115170974,115172943,115172952,115172967","115169900,115169907,115170448,115170458,115170470,115170484,115170803,115170820,115170974,115172943,115172952,115172967"
hawkishsuburb2040106483.u.arkana.near,2024-03-21,115168544,115168544
helplessfiend2435356370.u.arkana.near,2024-03-21,"115162820,115166637","115162820,115166637"
hiddenclinch7405255928.u.arkana.near,2024-03-21,115164849,115164849
healthfulstarburst2407315386.u.arkana.near,2024-03-21,115161192,115161192
high-pressuremounting6207308935.u.arkana.near,2024-03-21,115155837,115155837
hoangphannhat10.near,2024-03-21,"115163950,115164156","115163950,115164156"
hoarsecart192929733.u.arkana.near,2024-03-21,115159907,115159907
hostilegenerator1884353256.u.arkana.near,2024-03-21,115164283,115164283
hugemedallion3965346698.u.arkana.near,2024-03-21,115160652,115160652
humorlessmist758573706.u.arkana.near,2024-03-21,"115157988,115160223","115157988,115160223"
hystericalslide5302267154.u.arkana.near,2024-03-21,115170355,115170355
hypodermiccrucible2815359628.u.arkana.near,2024-03-21,115175420,115175420
